"","pitch_type","release_speed","zone","stand","p_throws","description","type","bb_type","balls","strikes","on_3b","on_2b","on_1b","outs_when_up","pitch_number"
"23570","CH",82.5,14,"R","L","ball","B",NA,2,2,NA,NA,641584,2,6
"23571","FF",94.3,13,"L","R","ball","B",NA,1,0,NA,NA,NA,2,2
"23572","CH",83.5,14,"L","R","hit_into_play","X","ground_ball",1,1,NA,NA,NA,0,3
"23573","FC",88.2,7,"R","R","called_strike","S",NA,2,0,NA,NA,NA,0,3
"23574","SL",89.8,12,"R","R","ball","B",NA,1,2,NA,NA,NA,1,4
"23575","SL",88.9,13,"R","L","swinging_strike","S",NA,1,2,NA,NA,NA,2,4
"23576","SI",93.2,1,"R","R","swinging_strike","S",NA,3,1,NA,NA,NA,0,5
"23577","CU",79.5,6,"R","R","called_strike","S",NA,0,0,NA,641313,660162,2,1
"23578","SI",94.6,5,"R","R","called_strike","S",NA,0,0,NA,NA,NA,1,1
"23579","SI",95.8,14,"R","R","ball","B",NA,1,1,NA,NA,501571,0,3
"23580","CH",79.6,14,"R","L","ball","B",NA,2,1,NA,NA,NA,0,4
"23581","FS",89.5,13,"L","R","ball","B",NA,0,1,NA,NA,NA,2,2
"23582","SL",83.6,14,"R","R","ball","B",NA,0,0,623520,663538,542364,0,1
"23583","SL",88.6,11,"R","R","ball","B",NA,0,1,NA,NA,NA,2,2
"23584","CH",84,13,"L","R","ball","B",NA,0,1,NA,NA,NA,0,2
"23585","FF",96,3,"R","R","foul_tip","S",NA,0,1,594838,NA,NA,1,2
"23586","CH",80.4,13,"L","R","swinging_strike","S",NA,1,1,642708,NA,NA,1,3
"23587","FF",92.9,12,"L","R","foul","S",NA,1,2,NA,NA,664034,0,4
"23588","FF",98,6,"L","R","called_strike","S",NA,1,1,NA,NA,NA,1,3
"23589","FF",95.2,8,"L","R","called_strike","S",NA,1,0,NA,NA,624413,0,2
"23590","SI",91.6,11,"R","L","ball","B",NA,1,2,NA,NA,NA,0,4
"23591","FF",95.3,4,"L","R","foul","S",NA,0,1,NA,NA,NA,2,2
"23592","SL",86.8,8,"L","R","hit_into_play","X","line_drive",0,0,NA,NA,662139,0,1
