"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
21,686452,"Millas, Drew",22,95.5,0,0,0,0,0,0.08,0.088,0,5,80.3,-16,2153,89.6,89.65,2,9,12,0,6.3,118,148,120,152,279,313,297,"1.3","-1.3",60.14401064486983,"6.48726125"
21,656484,"Gray, Tristan",21,100,0,0,0,0,0,0.205,0.221,0,5,88.6,24.7,2358,89.3,89.27,5,11,10,0,6.15,127,146,105,151,294,331,293,"1","-1",73.34286609230372,"7.876288182"
19,689172,"Wisely, Brett",19,100,0,0,0,0,0,0.025,0.023,0,5,80.2,8,1983,86,85.76,5,12,7,-0.20000000000000284,6.09,121,147,116,152,284,318,307,"1.4","-1.4",68.18585226212653,"7.346608333"
19,665856,"Camargo, Jair",19,100,0,0,0,0,0.139,0.191,0.067,0,4,77,-5,2373,90.5,90.54,4,8,11,0,6.37,109,143,119,137,305,326,289,"1","-1",76.43283768749097,"8.03032875"
18,683083,"Nuñez, Nasim",18,100,0,0,0,0,0,0.115,0.126,0,6,86,-21.2,2028,88.5,88.87,2,7,11,0.4000000000000057,6.46,101,149,97,150,293,315,277,"0.9","-0.9",67.85887840444362,"6.994398571"
17,640902,"Pereda, Jhonny",17,100,0,0,0,0,0,0.303,0.296,0,5,95.3,14.8,1931,87.7,87.46,3,10,7,-0.20000000000000284,6.31,103,151,124,151,288,318,291,"1.1","-1.1",73.75107106716233,"8.055525"
14,667452,"Julks, Corey",14,100,0.25,0.25,0.5,0.5,0.319,0.236,0.195,1,4,95.9,22,2194,89.3,88.52,2,6,8,-0.7999999999999972,5.95,115,154,115,149,291,326,277,"0.5","-0.5",68.7257049732478,"6.903613333"
13,669392,"Taylor, Samad",14,92.9,0.25,0,0.333,0.25,0.223,0.135,0.147,1,4,90.5,14,2329,90,90.53,5,9,4,0.5,6.88,94,145,108,145,301,315,288,"0.3","-0.3",65.452562075459,"7.00132"
12,641511,"Delay, Jason",13,92.3,0,0,0,0,0.174,0.356,0.203,0,3,82.4,42.7,2131,89.9,90.25,3,6,6,0.3999999999999915,6.68,110,151,111,144,291,312,277,"0.6","-0.6",,
11,676946,"Batten, Matthew",11,100,0.333,0.667,0.333,1,0.54,0.284,0.271,1,3,85.6,-1,2245,89.8,90.55,1,4,7,0.7999999999999972,6.82,109,154,102,148,304,315,294,"-0.6","0.6",68.37272293851659,"7.20747"
9,678246,"Vargas, Miguel",9,100,0,0,0,0,0,0,0.001,0,3,74.6,73,2451,91.6,90.9,0,3,6,-0.6999999999999886,5.72,99,147,122,144,309,318,282,"0.7","-0.7",45.268845041370554,"6.192235"
9,664954,"Sullivan, Brett",9,100,0,0,,0,0,0,,0,2,,,2447,92.9,92.9,3,7,2,0,6.41,120,145,114,153,286,314,297,"0.9","-0.9",69.1856182834405,"7.084568571"
8,679822,"Foscue, Justin",8,100,0.5,0,0.5,0.5,0.446,0.134,0.147,1,2,89.3,31,2279,94.8,95.69,1,4,4,0.9000000000000057,6.93,93,148,116,140,304,315,288,"-0.7","0.7",70.38834328263418,"6.86097"
8,663897,"Williams, Luke",8,100,0,0,,0,0.363,0.363,,0,1,,,2598,88.7,88.73,1,2,6,0,6.36,115,152,122,147,298,316,282,"-0.4","0.4",70.10486008938216,"8.521265"
8,669221,"Murphy, Sean",8,100,0,0,0,0,0,0.086,0.096,0,3,89.1,31.5,2447,91.5,92.2,1,6,2,0.7000000000000028,6.69,94,146,123,146,288,322,287,"0.4","-0.4",,
